DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation,DrugA_ID,DrugA_SMILES,DrugA_Formula,DrugB_ID,DrugB_SMILES,DrugB_Formula
DDInter462,dabrafenib,DDInter1959,zanubrutinib,Major,Major: Dabrafenib and zanubrutinib should not be used together because they can increase each other’s side effects. This is a major drug–drug interaction.,DB08912,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,C23H20F3N5O2S2,DB15035,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,C27H29N5O3
DDInter66,amikacin,DDInter386,cisatracurium,Major,Major: Amikacin can cause serious problems when used together with cisatracurium. This problem has been reported in patients who were treated with amikacin and cisatracurium at the same time. The exact reason for this problem is unknown but may be related to the way these drugs work inside the body. It is important to avoid taking amikacin and cisatracurium together unless your doctor tells you otherwise.,DB00479,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,C22H43N5O13,DB00565,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2,C53H72N2O12
DDInter87,amphotericin b (lipid complex),DDInter965,iothalamic acid,Major,Major: Amphotericin B (lipid complex) can cause serious kidney problems when taken together with iothalamic acid. This problem has been reported in patients taking both drugs together.,,,,DB09133,CNC(=O)C1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,C11H9I3N2O4
DDInter56,alteplase,DDInter9,acalabrutinib,Major,Major: Alteplase is used to treat heart attack and stroke. Acalabrutinib is used to treat certain types of cancer. Taking these drugs together may increase the risk of bleeding.,,,,DB11703,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,C26H23N7O2
DDInter1245,morphine (liposomal),DDInter1359,oxazepam,Major,"Major: Morphine (liposomal) can increase oxazepam levels in your body. This can lead to serious side effects such as drowsiness, sedation, impaired coordination, and difficulty concentrating. Be especially careful when driving, operating machinery, or performing hazardous activities.",,,,DB00842,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,C15H11ClN2O2
DDInter170,bedaquiline,DDInter640,encorafenib,Major,Major: Taking bedaquiline together with encorafenib can cause serious side effects. This interaction is major.,DB08903,COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2,C32H31BrN2O2,DB11718,COC(=O)N[C@@H](C)CNC1=NC=CC(=N1)C1=CN(N=C1C1=CC(Cl)=CC(NS(C)(=O)=O)=C1F)C(C)C,C22H27ClFN7O4S
DDInter659,eptifibatide,DDInter488,deferasirox,Major,"Major: Eptifibatide and deferasirox should not be used together because they can increase the risk of bleeding. This interaction is major because eptifibatide is given to prevent bleeding after angioplasty. The interaction may happen because both drugs affect platelets, which are part of the clotting process.",,,,DB01609,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,C21H15N3O4
DDInter27,adalimumab,DDInter1033,leflunomide,Major,Major: Adalimumab and leflunomide should not be used together because they can cause serious liver problems. This interaction is well known to occur.,,,,DB01097,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C12H9F3N2O2
DDInter160,bacillus calmette-guerin substrain tice live antigen,DDInter1376,ozanimod,Major,Major: This is a major drug–drug interaction. It should be avoided because it can cause severe inflammation of the small intestine. The risk of this interaction is so high that the manufacturer of Ozanimod recommends avoiding it altogether while taking BCG.,,,,DB12612,CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=C2CC[C@H](NCCO)C2=CC=C1)C#N,C23H24N4O3
DDInter1723,sulfamethizole,DDInter1894,typhoid vaccine (live),Major,"Major: The combination of sulfamethizole and typhoid vaccine can cause severe reactions such as skin rashes, fever, and liver damage. This interaction is well known and has been reported in many patients.",DB00576,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,C9H10N4O2S2,,,
DDInter1592,rifapentine,DDInter108,apixaban,Major,Major: Rifapentine can increase the risk of bleeding when taken together with apixaban. This is because rifampicin decreases the amount of apixaban in your body. The FDA recommends that you should not take apixaban together with rifampicin.,DB01201,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,C47H64N4O12,DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,C25H25N5O4
DDInter1937,vincristine,DDInter489,deferiprone,Major,Major: Taking deferiprone with vincristine can increase the side effects of vincristine on the nervous system. This is because deferiprone may increase the levels of vincristine in your body.,DB00541,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC,C46H56N4O10,DB08826,CN1C=CC(=O)C(O)=C1C,C7H9NO2
DDInter1139,mefenamic acid,DDInter1335,omacetaxine mepesuccinate,Major,"Major: Taking omacetaxine mepesuccinate together with mefenamic acid can cause major side effects. Omacetaxine mepesuccinate works by blocking a protein called c-kit, which is involved in blood cell production. Mefenamic acid also blocks this protein. This can lead to an increased risk of bleeding.",DB00784,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,C15H15NO2,DB04865,[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H],C29H39NO9
DDInter923,infliximab,DDInter1526,procarbazine,Major,"Major: Taking procarbazine together with infliximab can cause severe reactions such as skin rashes, fever, and swelling of the blood vessels. This interaction has been observed in patients taking these drugs together.",,,,DB01168,CNNCC1=CC=C(C=C1)C(=O)NC(C)C,C12H19N3O
DDInter1874,trimethoprim,DDInter1496,potassium bicarbonate,Major,"Major: When trimethoprim is taken together with potassium bicarbonate, there is an increased risk of serious side effects. This interaction is major.",DB00440,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,C14H18N4O3,DB11098,[K+].OC([O-])=O,CHKO3
DDInter765,flutamide,DDInter262,cabozantinib,Major,Major: Flutamide is used to treat prostate cancer. Cabozantinib is used to treat thyroid cancer. Taking flutamide together with cabozantinib can cause serious side effects such as bleeding and blood clotting problems. This interaction is very likely because flutamide can increase levels of an enzyme called CYP2C9 which can break down cabozantinib.,DB00499,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,C11H11F3N2O3,DB08875,COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2,C28H24FN3O5
DDInter1276,nelfinavir,DDInter246,budesonide,Major,"Major: Nelfinavir increases the levels of budesonide in your body. This can cause serious side effects such as changes in heart rate, breathing, and blood pressure.",DB00220,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,C32H45N3O4S,DB01222,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C25H34O6
DDInter680,estradiol (topical),DDInter1491,pomalidomide,Major,Major: Taking estradiol topical together with pomalidomide increases the risk of side effects. This is because estradiol topical can increase the level of pomalidomide in your body.,,,,DB08910,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,C13H11N3O4
DDInter1166,methadone,DDInter1214,midostaurin,Major,Major: The drug methadone should be used with caution when taken together with midostaurin because of major drug–drug interactions. This means that the combination can cause serious side effects or change how well the drugs work. It is best to avoid this combination unless your doctor has told you it is safe.,DB00333,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,C21H27NO,DB06595,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3CNC1=O)N(C)C(=O)C1=CC=CC=C1,C35H30N4O4
DDInter1041,leucovorin,DDInter334,ceftriaxone,Major,"Major: When leucovorin is given together with ceftriaxone, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact reason for this interaction is that ceftriaxone reduces the amount of leucovorin in your body. As a result, leucovorin may not work properly to prevent side effects from other medicines.",DB00650,[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2,C20H23N7O7,DB01212,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C18H18N8O7S3
DDInter1712,streptokinase,DDInter286,caplacizumab,Major,"Major: When streptokinase is given together with caplacizumab, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The interaction may be caused by the fact that caplacizumab blocks a protein called FVIII-A. Streptokinase can break down FVIII-A. Therefore, when the two drugs are used together, they can cancel each other out.",,,,,,
DDInter1352,osimertinib,DDInter1743,talimogene laherparepvec,Major,Major: Osimertinib is used to treat lung cancer. It works by blocking a protein called epidermal growth factor receptor (EGFR). Talimogene laherparepvec is used to treat skin cancer. It works by introducing a virus into the tumour which causes the tumour cells to produce a protein that stimulates the immune system to attack the tumour. Using osimertinib together with talimogene laherparepvec may increase the risk of inflammation of the lungs (pneumonitis) because both drugs can cause this.,DB09330,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,C28H33N7O2,,,
DDInter178,bendamustine,DDInter1901,upadacitinib,Major,"Major: When bendamustine is taken together with upadacitinib, there is an increased risk of serious skin reactions. This interaction is major.",DB06769,CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,C16H21Cl2N3O2,DB15091,CC[C@@H]1CN(C[C@@H]1C1=CN=C2C=NC3=C(C=CN3)N12)C(=O)NCC(F)(F)F,C17H19F3N6O
DDInter939,insulin human (zinc),DDInter644,enoxacin,Major,Major: Taking insulin human (zinc) and enoxacin together can cause major side effects. Enoxacin increases the level of insulin in your body. This can lead to low blood sugar levels.,,,,DB00467,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,C15H17FN4O3
DDInter387,cisplatin,DDInter1376,ozanimod,Major,Major: Cisplatin is used to treat cancer. Ozanimod is used to treat multiple sclerosis. Taking cisplatin and ozanimod together can cause serious side effects such as nausea and vomiting. This interaction is well known and has been studied many times. The exact reason for this interaction is not clear but may be due to the way these drugs affect the nervous system.,DB00515,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cl2H6N2Pt,DB12612,CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=C2CC[C@H](NCCO)C2=CC=C1)C#N,C23H24N4O3
DDInter122,artesunate,DDInter841,grazoprevir,Major,Major: Artesunate is an antimalarial medication. Grazoprevir is a hepatitis C virus treatment. Taking artesunate with grazoprevir can cause serious side effects.,DB09274,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4,C19H28O8,DB11575,COC1=CC2=NC3=C(CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@]4(C[C@H]4C=C)C(=O)NS(=O)(=O)C4CC4)O3)C(C)(C)C)N=C2C=C1,C38H50N6O9S
DDInter975,iron,DDInter582,dolutegravir,Major,Major: Taking iron supplements together with dolutegravir can cause serious side effects. This interaction is well known to occur. It is best to take iron supplements at least 4 hours before taking dolutegravir or after dolutegravir has been taken.,DB01592,[Fe],Fe,DB08930,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2,C20H19F2N3O5
DDInter484,dasatinib,DDInter1032,lefamulin,Major,Major: Dasatinib should not be taken together with lefamulin because it can increase the risk of side effects. This is because dasatinib can slow down how quickly lefamulin is broken down by the body.,DB01254,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,C22H26ClN7O2S,DB12825,[H][C@@]12C(=O)CC[C@]11CCC(C)[C@@]2(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]1C)OC(=O)CS[C@@H]1CC[C@@H](N)C[C@H]1O,C28H45NO5S
DDInter811,gemcitabine,DDInter1771,teriflunomide,Major,Major: Gemcitabine should not be used together with teriflunomide because gemcitabine can increase the risk of liver damage when combined with teriflunomide. This is a major drug interaction.,DB00441,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,C9H11F2N3O4,DB08880,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C12H9F3N2O2
DDInter1708,st. john's wort,DDInter1387,panobinostat,Major,Major: St. John’s Wort can make Panobinostat work less effectively. This may be because St. John’s Wort decreases the amount of Panobinostat in the body.,,,,DB06603,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1,C21H23N3O2
DDInter1796,thioridazine,DDInter1387,panobinostat,Major,"Major: Thioridazine and panobinostat should not be used together because they can cause serious side effects such as changes in heart rate, blood pressure, and body temperature. The exact reason for this interaction is unknown but may involve the way these drugs affect the nervous system.",DB00679,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,C21H26N2S2,DB06603,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1,C21H23N3O2
DDInter56,alteplase,DDInter491,defibrotide,Major,Major: Alteplase is used to treat heart attacks and strokes. Defibrotide is used to treat liver damage from heparin. Taking defibrotide together with alteplase can increase the risk of bleeding.,,,,,,
DDInter1244,morphine,DDInter791,gabapentin,Major,"Major: Taking gabapentin together with morphine can cause serious side effects such as drowsiness, dizziness, confusion, and difficulty concentrating. These effects may be due to the fact that both drugs affect the central nervous system.",DB00295,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,C17H19NO3,DB00996,NCC1(CC(O)=O)CCCCC1,C9H17NO2
DDInter811,gemcitabine,DDInter737,fingolimod,Major,"Major: Gemcitabine is used to treat certain types of cancer. It works by interfering with DNA synthesis. Fingolimod is used to treat multiple sclerosis. It works by blocking certain cells from leaving lymph nodes into blood vessels. Taking fingolimod together with gemcitabine can increase the risk of serious effects on your immune system. This can include life-threatening infections. Therefore, do not take fingolimod together with gemcitabine unless your doctor tells you to.",DB00441,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,C9H11F2N3O4,DB08868,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,C19H33NO2
DDInter419,clozapine,DDInter1497,potassium chloride,Major,Major: Taking clozapine together with potassium chloride can cause serious changes in heart rate. This interaction is well known to happen. It is not clear how this happens.,DB00363,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,C18H19ClN4,DB00761,[Cl-].[K+],ClK
DDInter901,ibutilide,DDInter1008,ketoconazole,Major,"Major: When ibutilide is taken together with ketoconazole, there is an increased risk of serious side effects such as abnormal heart rhythms. This interaction is major because it can be life threatening.",DB00308,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,C20H36N2O3S,DB01026,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,C26H28Cl2N4O4
DDInter964,iopromide,DDInter1108,lutetium lu 177 dotatate,Major,"Major: The combination of iopromide and lutetium Lu 177 dotatate should be avoided because there is a high risk of serious side effects. Iopromide can increase the levels of lutetium Lu 177 dotatate in the body, which may lead to an increased risk of radiation damage to organs such as the thyroid gland.",DB09156,COCC(=O)NC1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,C18H24I3N3O8,DB13985,[177Lu+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O,C65H87LuN14O19S2
DDInter8,abiraterone,DDInter1926,venetoclax,Major,"Major: When abiraterone is taken together with venetoclax, there is an increased risk of a serious type of heart rhythm problem called QT prolongation. This can cause dangerous side effects such as arrhythmia (irregular heartbeat) and torsades de pointes (a specific type of irregular heartbeat). It is important to note that this interaction has only been observed in studies done in animals and in people, but not in actual patients taking both drugs at the same time. Therefore, more research is needed to determine whether this interaction will occur in patients.",DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,C24H31NO,DB11581,CC1(C)CCC(CN2CCN(CC2)C2=CC=C(C(=O)NS(=O)(=O)C3=CC=C(NCC4CCOCC4)C(=C3)[N+]([O-])=O)C(OC3=CN=C4NC=CC4=C3)=C2)=C(C1)C1=CC=C(Cl)C=C1,C45H50ClN7O7S
DDInter687,etanercept,DDInter1400,pazopanib,Major,"Major: Taking etanercept together with pazopanib can cause major side effects. Etanercept can increase the levels of pazopanib in your body by about two times. This may lead to an increased risk of bleeding, stomach pain, vomiting, diarrhea, and other serious side effects.",,,,DB06589,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1,C21H23N7O2S
DDInter1245,morphine (liposomal),DDInter1521,primidone,Major,"Major: Taking primidone together with morphine can be dangerous. Primidone may increase the effects of morphine, which could cause serious side effects such as breathing problems, drowsiness, or coma.",,,,DB00794,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2
DDInter1607,ritonavir,DDInter817,gilteritinib,Major,"Major: When ritonavir is taken together with gilteritinib, it can increase the levels of gilteritinib in the blood by about 40%. This may lead to an increased risk of side effects.",DB00503,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,C37H48N6O5S2,DB12141,CCC1=C(NC2CCOCC2)N=C(NC2=CC=C(N3CCC(CC3)N3CCN(C)CC3)C(OC)=C2)C(=N1)C(N)=O,C29H44N8O3
DDInter99,anistreplase,DDInter1818,tirofiban,Major,"Major: When anistreplase is given together with tirofiban, there is a high risk of bleeding. This is because anistreplase can increase the effects of tirofiban, which prevents blood clots from forming.",,,,DB00775,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,C22H36N2O5S
DDInter1804,ticlopidine,DDInter775,fondaparinux,Major,"Major: When ticlopidine is taken along with fondaparinux, there is an increased risk of bleeding. This is because fondaparinux increases the blood levels of ticlopidine. It is important to note that this interaction has been observed in studies done in animals and in people.",DB00208,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,C14H14ClNS,DB00569,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O,C31H53N3O49S8
DDInter949,interferon gamma-1b,DDInter1033,leflunomide,Major,Major: Interferon gamma-1b and leflunomide should not be used together because they can cause severe liver damage. This interaction has been observed in patients taking these drugs together.,,,,DB01097,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C12H9F3N2O2
DDInter737,fingolimod,DDInter1110,macimorelin,Major,Major: Fingolimod can cause a drop in blood pressure when taken with macimorelin. This can be dangerous. Be prepared for this to happen.,DB08868,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,C19H33NO2,DB13074,CC(C)(N)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)NC=O,C26H30N6O3
DDInter1003,ixekizumab,DDInter1920,varicella zoster vaccine (recombinant),Major,"Major: This is a major drug–drug interaction. It means that when you take ixekizumab and varicella zoster vaccine at the same time, it can make the vaccine less effective. The vaccine may not fully protect you against chickenpox (varicella) infection.",,,,,,
DDInter745,fludarabine,DDInter342,certolizumab pegol,Major,Major: Fludarabine can increase the risk of side effects when used together with certolizumab pegol. This is because fludarabine may reduce the ability of the body to remove certolizumab pegol from the bloodstream.,DB01073,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H12FN5O4,,,
DDInter1313,norfloxacin,DDInter852,halofantrine,Major,Major: Taking norfloxacin together with halofantrine can cause serious side effects such as seizures. This interaction is well known to occur because of how these drugs are metabolized in the body.,DB01059,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,C16H18FN3O3,DB01218,CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,C26H30Cl2F3NO
DDInter605,drotrecogin alfa,DDInter524,dextran (high molecular weight),Major,"Major: When drotrecogin alfa is given together with dextran (a blood thinner), there is an increased risk of serious side effects such as allergic reactions. This interaction is well known and has been studied. It is thought to be due to the fact that dextran can cause the release of histamine from cells in the body, which can lead to allergic reactions. Therefore, when these two drugs are used together, they should be separated by at least 5 minutes.",,,,,,
DDInter1735,tacrolimus,DDInter1179,methoxyflurane,Major,Major: Tacrolimus and methoxyflurane should not be used together because they can cause severe liver damage. The exact mechanism of this interaction is unknown but may involve the way these drugs are metabolized by the body.,DB00864,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C44H69NO12,DB01028,COC(F)(F)C(Cl)Cl,C3H4Cl2F2O
DDInter1472,pioglitazone,DDInter1102,lumateperone,Major,"Major: When pioglitazone is taken together with lumateperone, there is an increased risk of heart failure. This interaction is major.",DB01132,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,C19H20N2O3S,DB06077,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C,C24H28FN3O
DDInter1043,levacetylmethadol,DDInter59,alvimopan,Major,"Major: Levacetylmethadol (LAMA) is used to treat opioid withdrawal symptoms. Alvimopan (ALVIMO) is used to prevent small bowel resection surgery complications. Taking LAMA with ALVIMO may increase the risk of side effects such as nausea, vomiting, diarrhea, abdominal pain, and flatulence.",DB01227,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,C23H31NO2,DB06274,C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,C25H32N2O4
DDInter670,erythromycin,DDInter193,berotralstat,Major,Major: Erythromycin can increase the levels of berotralstat in your body by about 50%. This may cause more side effects. Be alert for these side effects.,DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C37H67NO13,DB15982,NCC1=CC(=CC=C1)N1N=C(C=C1C(=O)NC1=CC(=CC=C1F)[C@H](NCC1CC1)C1=CC=CC(=C1)C#N)C(F)(F)F,C30H26F4N6O
DDInter293,carbamazepine,DDInter817,gilteritinib,Major,"Major: When carbamazepine is taken together with gilteritinib, there is an increased risk of side effects. This interaction is major. The exact mechanism for this interaction is not clear.",DB00564,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,C15H12N2O,DB12141,CCC1=C(NC2CCOCC2)N=C(NC2=CC=C(N3CCC(CC3)N3CCN(C)CC3)C(OC)=C2)C(=N1)C(N)=O,C29H44N8O3
DDInter458,cyclosporine,DDInter424,cobicistat,Major,"Major: Cyclosporine is a drug used to prevent organ rejection after transplantation. It can be taken together with cobicistat, which is a drug used to treat HIV. However, taking these two drugs together may increase the side effects of cyclosporine.",DB00091,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,DB09065,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,C40H53N7O5S2
DDInter392,cladribine,DDInter1297,niraparib,Major,"Major: When cladribine is given together with niraparib, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. The exact mechanism for this interaction is unknown.",DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,C10H12ClN5O3,DB11793,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,C19H20N4O
