DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation
DDInter1119,Magnesium oxide,DDInter1658,Selpercatinib,Major,Major: Taking magnesium oxide together with selpercatinib can cause serious side effects. This interaction is major.
DDInter675,Esmolol,DDInter613,Dyphylline,Major,Major: Esmolol is used to treat high blood pressure and fast heart rate. Dyphylline is used to treat asthma attacks. Taking these drugs together may cause your heart rate to drop too low. This can be dangerous. Do not take dyphylline with esmolol unless directed by your doctor.
DDInter1480,Pitolisant,DDInter107,Apalutamide,Major,Major: The drugs Pitolisant and Apalutamide should not be used together because they can cause serious side effects such as seizures. This interaction is well known to occur and has been observed in many patients.
DDInter603,Droperidol,DDInter204,Bicalutamide,Major,"Major: When droperidol is given together with bicalutamide, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. In this case, droperidol may increase the risk of QT prolongation when given with bicalutamide. QT prolongation refers to changes in the electrical activity of the heart that can lead to potentially dangerous abnormal heart rhythms. It is important for clinicians to be aware of this potential drug interaction and take appropriate measures to monitor patients’ heart rate"
DDInter551,Diflunisal,DDInter1609,Rivaroxaban,Major,"Major: When diflunisal is taken together with rivaroxaban, there is an increased risk of bleeding. This is because diflunisal can increase the effects of rivaroxaban, which slows down blood clotting. It is important to follow the prescribing information for both drugs when taking them together."
DDInter770,Fluvoxamine,DDInter1665,Sibutramine,Major,Major: Fluvoxamine is an antidepressant. Sibutramine is used to treat obesity. Taking these drugs together can cause serious harm.
DDInter38,Aldesleukin,DDInter1901,Upadacitinib,Major,"Major: When aldesleukin and upadacitinib are taken together, there may be a very high chance of getting a severe reaction called cytokine release syndrome. This can cause fever, chills, nausea, vomiting, diarrhea, headache, muscle pain, and weakness. It is important to talk to your doctor about whether these drugs should be used together."
DDInter961,Iopamidol,DDInter1108,Lutetium Lu 177 dotatate,Major,Major: The combination of iopamidol and lutetium Lu 177 dotatate should be avoided because there is a major drug interaction between them. This means that taking these drugs together can cause serious side effects.
DDInter56,Alteplase,DDInter542,Dicoumarol,Major,"Major: When alteplase is used together with dicoumarol, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. Alteplase is a blood thinner that is used to treat heart attacks and strokes. Dicoumarol is also a blood thinner but it is no longer used clinically because it has many side effects. The problem is that when these two blood thinners are used together, they can increase the risk of bleeding. This is because both of them already have an effect on blood clotting. Using"
DDInter56,Alteplase,DDInter484,Dasatinib,Major,Major: Alteplase is used to treat heart attack and stroke. Dasatinib is used to treat certain types of cancer. Taking dasatinib while taking alteplase can increase the risk of bleeding. This is because dasatinib may increase the effects of alteplase.
DDInter973,Irinotecan,DDInter342,Certolizumab pegol,Major,Major: Irinotecan can increase the risk of side effects from certolizumab pegol. This combination should be avoided unless the benefits outweigh the risks. The exact mechanism for this interaction is unknown.
DDInter708,Ezogabine,DDInter262,Cabozantinib,Major,Major: The combination of ezogabine and cabozantinib should be avoided because there is a major drug interaction between them. This means that the combination can cause serious side effects. It is not clear how this interaction happens.
DDInter478,Daratumumab,DDInter1248,Mumps virus strain B level jeryl lynn live antigen,Major,Major: The mumps vaccine contains a live virus. This can interact with an antibody called daratumumab. This interaction may make the vaccine less effective.
DDInter1275,Nelarabine,DDInter837,Golimumab,Major,"Major: The combination of nelarabine and golimumab can cause major drug interactions. This means that the drugs may affect each other in ways that could be harmful. In particular, golimumab may increase the levels of nelarabine in your body. This can increase the risk of side effects such as seizures. It is important to talk to your doctor about whether you should use these medications together."
DDInter743,Fluconazole,DDInter413,Clopidogrel,Major,"Major: When clopidogrel is taken together with fluconazole, it may be less effective at preventing blood clots. This is because fluconazole can increase the breakdown of clopidogrel."
DDInter279,Calcium Phosphate,DDInter661,Erdafitinib,Major,"Major: When erdafitinib is taken together with calcium phosphate, there is an increased risk of serious side effects on the heart. This interaction is major."
DDInter670,Erythromycin,DDInter128,Astemizole,Major,Major: Erythromycin can cause serious problems when taken together with astemizole. This problem has been reported in many patients. It is best to avoid taking these two drugs together.
DDInter4,Abarelix,DDInter575,Disopyramide,Major,Major: The combination of abarelix and disopyramide can cause major side effects. It is not clear how this interaction works.
DDInter254,Buspirone,DDInter594,Doxepin (topical),Major,Major: Buspirone should not be used together with doxepin because it can cause serious side effects such as seizures. The exact reason for this interaction is unknown but may involve the way these drugs are broken down in the body.
DDInter649,Enzalutamide,DDInter1352,Osimertinib,Major,"Major: Enzalutamide and osimertinib should not be used together because they can increase the risk of bleeding. This is because enzalutamide can increase the effects of osimertinib, which also increases the risk of bleeding."
DDInter775,Fondaparinux,DDInter1763,Temsirolimus,Major,Major: Fondaparinux should not be used together with temsirolimus because they can interact in a way that may cause serious side effects. It is not clear how this interaction happens.
DDInter1554,Quinapril,DDInter1498,Potassium citrate,Major,"Major: When quinapril is taken with potassium citrate, there is a major drug–drug interaction. This means that the combination of these drugs can cause serious side effects. Quinapril lowers blood pressure, while potassium citrate raises blood potassium levels. The combination of these two drugs can lead to dangerously low blood pressure and blood potassium levels."
DDInter1420,Pentamidine,DDInter1389,Papaverine,Major,Major: Taking papaverine together with pentamidine can cause severe side effects. This interaction is very likely to occur because both drugs are used for treating parasite infections of the skin. Papaverine is also used as a pain reliever. The interaction may be caused by an increase in the level of papaverine in the bloodstream.
DDInter952,Iobenguane (I-131),DDInter1376,Ozanimod,Major,Major: The combination of iobenguane (I-131) and ozanimod can cause major drug–drug interactions. This means that the drugs may have an effect on each other that could be harmful.
DDInter1033,Leflunomide,DDInter609,Dupilumab,Major,"Major: Leflunomide is used to treat rheumatoid arthritis. It can be harmful when taken together with dupilumab, which is used to treat eczema. This is because leflunomide may increase levels of liver enzymes in your blood. Taking both drugs together may increase this effect."
DDInter1945,Vorapaxar,DDInter340,Ceritinib,Major,Major: Taking vorapaxar together with ceritinib can cause major side effects. This combination should be avoided.
DDInter424,Cobicistat,DDInter640,Encorafenib,Major,Major: The combination of cobicistat and encorafenib can cause major side effects. This combination should be avoided unless the benefits outweigh the risks.
DDInter893,Hydroxychloroquine,DDInter1032,Lefamulin,Major,Major: This is a major drug interaction between hydroxychloroquine and lefamulin. It means that taking these drugs together can cause serious side effects. The interaction may be due to changes in how well the drugs are absorbed into the body.
DDInter921,Indomethacin,DDInter1763,Temsirolimus,Major,Major: Taking indomethacin together with temsirolimus can cause major side effects. This is because indomethacin increases the level of temsirolimus in your body.
DDInter1244,Morphine,DDInter1526,Procarbazine,Major,"Major: Taking morphine together with procarbazine can be dangerous. This combination can cause serious side effects such as nausea, vomiting, diarrhea, abdominal pain, fever, chills, weakness, dizziness, headache, confusion, seizures, coma, and even death. The exact mechanism of this interaction is not clear but may involve the immune system."
DDInter392,Cladribine,DDInter1033,Leflunomide,Major,"Major: When cladribine and leflunomide are taken together, they can cause serious side effects such as bone marrow suppression. This means that your body makes too few blood cells to fight infection. It is important to talk to your doctor about whether you should take these drugs together."
DDInter302,Carmustine,DDInter1127,Measles virus vaccine live attenuated,Major,Major: The combination of carmustine and measles virus vaccine live attenuated should be avoided because there is a high risk for serious side effects.
DDInter1293,Nilotinib,DDInter621,Edoxaban,Major,Major: Nilotinib can increase the levels of edoxaban in your body. This may cause bleeding. Tell your doctor or pharmacist about all the medicines you take. They might change the dose of one or both medicines to avoid side effects.
DDInter1460,Phenytoin,DDInter1731,Sunitinib,Major,"Major: When phenytoin is taken together with sunitinib, there is an increased risk of side effects. This interaction is major."
DDInter439,Conjugated estrogens,DDInter1491,Pomalidomide,Major,"Major: When taking conjugated estrogens together with pomalidomide, there is an increased risk of blood clots. This is because conjugated estrogens can increase the levels of clotting factors in the blood. Clotting factors are proteins that help the blood to clot. Pomalidomide can also increase the risk of blood clots by itself. Therefore, when these two drugs are taken together, the risk of blood clots increases even more."
DDInter814,Gemtuzumab ozogamicin,DDInter342,Certolizumab pegol,Major,"Major: Gemzar (Gemtuzumab) is used to treat acute myeloid leukemia. Cimzia (Certolizumab) is used to treat rheumatoid arthritis. Taking these drugs together may cause serious side effects such as low blood counts, infections, and liver problems."
DDInter788,Frovatriptan,DDInter518,Dexfenfluramine,Major,"Major: Taking dexfenfluramine with frovatriptan can cause major side effects. Dexfenfluramine may increase the amount of frovatriptan in your body by about 10 times. This can lead to serious side effects such as liver problems, seizures, heart attack, and stroke."
DDInter1228,Mipomersen,DDInter631,Eltrombopag,Major,"Major: When mipomersen and eltrombopag are given together, they can have a severe effect on your body. This is because mipomersen can increase the level of eltrombopag in your blood."
DDInter1263,Naltrexone,DDInter1372,Oxymorphone,Major,"Major: When oxymorphone and naltrexone are taken together, they can interact in a way that may cause serious side effects such as nausea, vomiting, dizziness, drowsiness, confusion, and seizures. It is important to talk to your doctor about whether these drugs should be used together."
DDInter426,Cocaine (nasal),DDInter606,Droxidopa,Major,Major: Taking cocaine while taking droxidopa can cause severe changes in blood pressure. This may result in serious harm to the patient.
DDInter573,Dipyridamole,DDInter1387,Panobinostat,Major,"Major: When dipyridamole is taken together with panobinostat, it can increase the side effects of panobinostat. This interaction is major."
DDInter1103,Lumefantrine,DDInter1880,Triptorelin,Major,Major: The combination of lumefantrine and triptorelin can cause serious side effects. This interaction may be due to changes in how these drugs are metabolized by the liver. It is important to avoid this combination unless your doctor has advised you to use them together.
DDInter594,Doxepin (topical),DDInter1103,Lumefantrine,Major,Major: Using doxepin together with lumefantrine can cause serious side effects. This interaction is well known to occur. It is important to talk to your doctor about this before you take these drugs together.
DDInter670,Erythromycin,DDInter1701,Sonidegib,Major,"Major: Erythromycin can increase the levels of sonidegib in your body by about two times. This may increase side effects such as muscle pain, weakness, and rash."
DDInter173,Belimumab,DDInter1920,Varicella Zoster Vaccine (Recombinant),Major,"Major: The immune system helps protect against viruses and other pathogens. Some vaccines work by exposing the immune system to a weakened form of a virus or bacteria so that the body can fight it off. However, when given together, varicella zoster vaccine and belimumab may weaken the immune system’s response to infection. This interaction has been observed in some patients who were given both drugs together."
DDInter923,Infliximab,DDInter906,Ifosfamide,Major,"Major: If you take infliximab and ifosfamide together, there is a high chance of serious side effects. This is because infliximab can affect how well your body processes ifosfamide."
DDInter463,Dacarbazine,DDInter1901,Upadacitinib,Major,Major: Taking dacarbazine together with upadacitinib can be dangerous. It may increase the risk of serious side effects such as liver problems.
DDInter1259,Nalidixic acid,DDInter906,Ifosfamide,Major,"Major: If you take nalidixic acid and ifosfamide together, there is a high chance of developing severe diarrhea. This interaction is very likely to occur because these drugs are both eliminated from the body through the same pathway."
DDInter856,Heparin,DDInter926,Inotersen,Major,Major: Heparin is an anticoagulant used to treat blood clots. Inotersen is a drug used to treat amyloidosis. Taking heparin with inotersen can cause bleeding. This is because heparin increases the risk of bleeding when taken with other drugs.
DDInter1771,Teriflunomide,DDInter1341,Onasemnogene abeparvovec,Major,Major: Teriflunomide decreases the activity of immune cells called lymphocytes. Onasemnogene abeparvovec is a gene therapy that replaces a defective gene in lymphocytes. The combination of these drugs may decrease the effectiveness of onasemnogene abeparvovec.
DDInter1484,Plicamycin,DDInter1953,Yellow Fever Vaccine,Major,Major: The plicamycin drug can cause severe liver problems when taken with the yellow fever vaccine.
DDInter5,Abatacept,DDInter1623,Rotavirus vaccine,Major,Major: Taking abatacept together with rotavirus vaccine may cause serious problems. This interaction has been found to be severe. It is important to talk to your doctor before taking these drugs together.
DDInter1763,Temsirolimus,DDInter965,Iothalamic acid,Major,Major: Taking temsirolimus together with iothalamic acid can cause serious side effects.
DDInter1971,Zonisamide,DDInter1533,Promethazine,Major,"Major: When zonisamide is taken together with promethazine, there is an increased risk of drowsiness. This is because zonisamide increases the effects of promethazine."
DDInter1168,Methdilazine,DDInter1971,Zonisamide,Major,"Major: When methdilazine is taken together with zonisamide, there is an increased risk of side effects such as drowsiness, dizziness, and headache. This interaction is major."
DDInter1215,Mifepristone,DDInter107,Apalutamide,Major,"Major: Mifepristone is used to end pregnancies. It works by blocking progesterone from working. Apalutamide is used to treat prostate cancer. It works by blocking testosterone from entering cells. When these drugs are taken together, they can block each other from working properly. This can make mifepristone less likely to end a pregnancy and apalutamide less likely to work against prostate cancer."
DDInter1352,Osimertinib,DDInter1329,Oliceridine,Major,"Major: Oliceridine can increase levels of Osimertinib in your body by about 10%. This may cause more side effects. Take Osimertinib as directed. If you have questions, talk to your doctor or pharmacist."
DDInter1566,Ramucirumab,DDInter1802,Ticagrelor,Major,"Major: When ramucirumab is taken together with ticagrelor, there is an increased risk of bleeding. This is because ramucirumab can increase the effects of ticagrelor."
DDInter1316,Nortriptyline,DDInter120,Arsenic trioxide,Major,Major: Taking nortriptyline together with arsenic trioxide can cause serious side effects. Nortriptyline increases the levels of arsenic trioxide in your body. This may increase your risk for certain types of cancer.
DDInter580,Dofetilide,DDInter840,Granisetron,Major,Major: Dofetilide and granisetron should not be used together because they can cause serious heart rhythm problems. This problem has been seen in studies and also in patients.
DDInter462,Dabrafenib,DDInter1659,Selumetinib,Major,"Major: When dabrafenib and selumetinib are taken together, they can cause serious side effects such as skin reactions, rash, fever, and inflammation of blood vessels. These drugs should be avoided taking together."
DDInter687,Etanercept,DDInter1251,Mycophenolate mofetil,Major,Major: Etanercept can increase the risk of infection when combined with mycophenolate mofetil. This is because etanercept may decrease the activity of white blood cells that fight infection.
DDInter580,Dofetilide,DDInter107,Apalutamide,Major,Major: Dofetilide is used to treat an irregular heartbeat called arrhythmia. It works by blocking certain electrical signals in your heart. Apalutamide is used to treat prostate cancer. It works by blocking a protein in tumour cells that helps them grow. Taking dofetilide and apalutamide together may increase your risk of side effects such as an irregular heartbeat. This is because dofetilide can block some of the electrical signals that apalutamide uses to work.
DDInter378,Cidofovir,DDInter1004,Kanamycin,Major,Major: Cidofovir should not be used together with kanamycin because cidofovir can increase the levels of kanamycin in your body. This can cause serious side effects.
DDInter1420,Pentamidine,DDInter907,Iloperidone,Major,Major: Iloperidone is an antipsychotic medication used to treat schizophrenia. It should not be taken together with pentamidine because this can cause serious side effects such as heart problems. The exact reason for this interaction is unknown but may involve the way these drugs are metabolized by the liver.
DDInter893,Hydroxychloroquine,DDInter648,Entrectinib,Major,Major: This is a major drug–drug interaction. Taking hydroxychloroquine together with entrectinib can cause serious side effects such as heart rhythm problems.
DDInter82,Amoxapine,DDInter262,Cabozantinib,Major,Major: Taking amoxapine together with cabozantinib can cause serious side effects. This is because amoxapine increases the levels of cabozantinib in your body. It is best to avoid taking these drugs together unless your doctor tells you to do so.
DDInter92,Amyl Nitrite,DDInter1600,Riociguat,Major,Major: Amyl nitrite and riociguat should not be used together because they can cause dangerous drops in blood pressure. This interaction is major.
DDInter1209,Miconazole,DDInter1435,Pexidartinib,Major,"Major: When miconazole is taken together with pexidartinib, there is an increased risk of side effects such as seizures. This interaction is major."
DDInter702,Etoposide,DDInter1920,Varicella Zoster Vaccine (Recombinant),Major,"Major: The varicella zoster vaccine (VZV) is used to prevent chickenpox infection. It is also used to prevent shingles, which is caused by the same virus as chickenpox. Etoposide is a chemotherapy drug used to treat cancer. Taking etoposide while being vaccinated for chickenpox can increase the risk of severe side effects from the vaccine. This interaction is major."
DDInter1166,Methadone,DDInter340,Ceritinib,Major,"Major: When methadone is taken together with ceritinib, it can increase the levels of ceritinib in your body by about 40%. This may lead to increased side effects of ceritinib such as nausea, vomiting, diarrhea, fatigue, myalgia, anorexia, and constipation."
DDInter1902,Uracil mustard,DDInter1894,Typhoid vaccine (live),Major,Major: The uracil mustard drug can cause severe reactions when given together with live vaccines such as the typhoid vaccine. This is because the uracil mustard drug can weaken the immune system’s ability to fight off the infection from the live vaccine.
DDInter1846,Trastuzumab,DDInter342,Certolizumab pegol,Major,"Major: When trastuzumab and certolizumab pegol are given together, there is a very high chance of side effects. This is because trastuzumab can make certolizumab pegol less effective at reducing inflammation."
DDInter248,Bumetanide,DDInter1277,Neomycin,Major,"Major: When bumetanide is used together with neomycin, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact reason for this interaction is unknown."
DDInter542,Dicoumarol,DDInter537,Diclofenac,Major,"Major: When dicoumarol is taken together with diclofenac, it can cause major bleeding. This is because diclofenac increases the effects of dicoumarol."
DDInter1905,Urokinase,DDInter1576,Regorafenib,Major,"Major: When urokinase is given together with regorafenib, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact mechanism for this interaction is not clear."
DDInter853,Haloperidol,DDInter1101,Lumacaftor,Major,"Major: The drug haloperidol can cause drowsiness when taken by itself. However, taking haloperidol together with the drug lumacaftor may increase this drowsiness to a major level. Therefore, caution should be exercised when taking these two drugs together."
DDInter1175,Methotrimeprazine,DDInter1352,Osimertinib,Major,Major: Taking methotrimeprazine together with osimertinib can cause serious side effects. This interaction may be due to the fact that methotrimeprazine increases the levels of osimertinib in your body.
DDInter596,Doxorubicin,DDInter1705,Sparfloxacin,Major,"Major: When doxorubicin is taken together with sparfloxacin, there is an increased risk of heart failure. This interaction is major."
DDInter893,Hydroxychloroquine,DDInter817,Gilteritinib,Major,Major: Taking hydroxychloroquine together with gilteritinib can cause serious problems in your heart rhythm. This problem may be more likely to happen when you first start taking these drugs together or when you increase the dose of one of the drugs.
DDInter698,Etidronic acid,DDInter960,Iohexol,Major,Major: This is a major drug–drug interaction. Taking etidronic acid together with iohexol can cause kidney damage. The mechanism of this interaction is that both drugs are excreted by the kidneys and may compete for elimination from the body.
DDInter1214,Midostaurin,DDInter841,Grazoprevir,Major,Major: Taking midostaurin together with grazoprevir can cause major side effects. This is because midostaurin may increase levels of grazoprevir in your body. This can lead to serious liver problems.
DDInter1897,Ulipristal,DDInter1926,Venetoclax,Major,"Major: Ulipristal can increase levels of venetoclax in your body. This may lead to increased side effects. Be alert for signs of liver problems, blood clots, bleeding, or other serious side effects."
DDInter1139,Mefenamic acid,DDInter488,Deferasirox,Major,Major: Taking mefenamic acid and deferasirox together can cause major side effects. This is because deferasirox increases the level of mefenamic acid in your body.
DDInter905,Idelalisib,DDInter1659,Selumetinib,Major,"Major: Idelalisib and selumetinib should not be used together because they can cause serious side effects. Idelalisib decreases the levels of blood cells called platelets. Selumetinib increases the levels of these same platelets. When used together, idelalisib can decrease platelet levels too much, which can lead to bleeding. This interaction has been observed in patients taking both drugs together."
DDInter1355,Oxaliplatin,DDInter581,Dolasetron,Major,Major: Taking oxaliplatin together with dolasetron can cause severe diarrhea. This interaction is well known to occur. It is likely that this happens because oxaliplatin increases the levels of dolasetron in your body.
DDInter1771,Teriflunomide,DDInter264,Calaspargase pegol,Major,"Major: Taking teriflunomide together with calaspargase pegol can cause major drug interactions. This means that taking these drugs together may lead to serious side effects. Calaspargase pegol is used to treat acute lymphoblastic leukemia. It works by killing certain white blood cells called lymphoblasts. Teriflunomide is used to treat multiple sclerosis. It slows down the activity of immune cells that attack nerve cells in multiple sclerosis patients. When taken together, calaspargase peg"
DDInter1704,Sotalol,DDInter840,Granisetron,Major,"Major: When sotalol and granisetron are taken together, they can cause serious changes in the heart’s electrical activity. This can increase the risk of dangerous abnormal heart rhythms."
DDInter691,Ethchlorvynol,DDInter429,Codeine,Major,"Major: Taking ethchlorvynol together with codeine can be dangerous. It may cause severe drowsiness, dizziness, confusion, hallucinations, seizures, and breathing problems. The combination should be avoided."
DDInter1248,Mumps virus strain B level jeryl lynn live antigen,DDInter492,Deflazacort,Major,Major: This is a major drug–drug interaction. The combination of mumps vaccine and deflazacort can cause serious side effects. It is recommended to avoid this combination unless there are special circumstances where the benefits outweigh the risks.
DDInter108,Apixaban,DDInter1891,Tucatinib,Major,Major: The combination of apixaban and tucatinib should be avoided because there is a major drug interaction between them. This means that taking these drugs together can cause serious side effects.
DDInter1086,Lomustine,DDInter165,Baricitinib,Major,"Major: Taking lomustine together with baricitinib can be dangerous. It may increase the risk of side effects such as liver problems, skin cancer, and blood clots. The exact reason for this interaction is not clear."
DDInter1400,Pazopanib,DDInter1894,Typhoid vaccine (live),Major,Major: Taking pazopanib while getting a live typhoid vaccine can cause serious side effects because pazopanib decreases the body’s ability to fight off the typhoid vaccine.
DDInter1735,Tacrolimus,DDInter170,Bedaquiline,Major,Major: Taking tacrolimus together with bedaquiline can cause major side effects. This is because tacrolimus slows down how quickly bedaquiline is broken down by the body. This can lead to too much bedaquiline building up in your body.
DDInter1678,Sirolimus,DDInter957,Iodipamide,Major,"Major: When sirolimus is taken together with iodipamide, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. The interaction may be caused by changes in how the body absorbs or breaks down one or both drugs. It is important to talk to your doctor or pharmacist before taking sirolimus with iodipamide."
DDInter1592,Rifapentine,DDInter714,Fedratinib,Major,"Major: Rifapentine can increase levels of fedratinib in your body by about two times. This may cause fedratinib to have stronger side effects. Be alert for signs of bleeding, blood in stools, or unusual bruising. If you experience these symptoms, contact your healthcare provider right away."
DDInter905,Idelalisib,DDInter1094,Lorlatinib,Major,"Major: Idelalisib and lorlatinib should not be used together because they can cause serious side effects. Idelalisib may increase levels of lorlatinib in your body, which could lead to overdose. This interaction has been identified in studies."
DDInter1087,Lonafarnib,DDInter766,Fluticasone,Major,"Major: When taking both fluticasone and lonafarnib together, there is a high risk of liver problems. This is because lonafarnib can increase levels of an enzyme that breaks down fluticasone into its active form. The active form of fluticasone may then damage the liver."
DDInter1841,Tramadol,DDInter1197,Metoclopramide,Major,Major: Taking metoclopramide together with tramadol can cause severe drowsiness. This may increase the risk of falling asleep while driving.
DDInter672,Escitalopram,DDInter960,Iohexol,Major,Major: Escitalopram can cause major problems when combined with iohexol. This combination should be avoided.
DDInter1589,Rifabutin,DDInter448,Crizotinib,Major,"Major: When rifabutin is taken together with crizotinib, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. In this case, crizotinib may not work as well to treat your condition."
DDInter1283,Netilmicin,DDInter966,Ioversol,Major,Major: The combination of netilmicin and ioversol can cause severe allergic reactions. This interaction is well known to occur. It is important to be aware of this interaction when prescribing these drugs together.
DDInter504,Desipramine,DDInter952,Iobenguane (I-131),Major,"Major: Desipramine can increase the effects of iodine-131 (I-131), which is used to treat thyroid cancer. This may cause side effects such as nausea, vomiting, diarrhea, and headache."
DDInter217,Bivalirudin,DDInter856,Heparin,Major,"Major: When bivalirudin is given together with heparin, there is an increased risk of bleeding. This is because bivalirudin and heparin can interact to increase the effects of both drugs."
DDInter687,Etanercept,DDInter1846,Trastuzumab,Major,Major: Taking etanercept together with trastuzumab can cause major side effects. This is because etanercept can increase the level of trastuzumab in your body. The exact mechanism is unknown but may be due to an increase in the amount of trastuzumab in your bloodstream.
DDInter112,Aprepitant,DDInter1000,Ivosidenib,Major,Major: Aprepitant and ivosidenib should not be used together because they can increase each other’s side effects. This is a major drug–drug interaction.
DDInter900,Ibuprofen,DDInter1566,Ramucirumab,Major,Major: Taking ibuprofen at the same time as ramucirumab can cause major side effects. This is because ibuprofen may increase the amount of ramucirumab in your body.
DDInter1638,Samarium (153Sm) lexidronam,DDInter1002,Ixazomib,Major,Major: The radioactive drug samarium (153Sm) lexidronam can cause serious problems when taken together with ixazomib. This problem has been found in studies of patients taking these drugs together.
DDInter133,Atorvastatin,DDInter1771,Teriflunomide,Major,"Major: When atorvastatin is taken together with teriflunomide, there is an increased risk of muscle problems. This interaction is major. The exact mechanism for this interaction is not clear."
DDInter966,Ioversol,DDInter1081,Lithium carbonate,Major,"Major: When ioversol is given together with lithium carbonate, there is an increased risk of side effects such as seizures, tremors, and coma. This interaction is major."
DDInter623,Efalizumab,DDInter1268,Natalizumab,Major,"Major: Efalizumab and natalizumab are both drugs used to treat autoimmune diseases such as multiple sclerosis. They are both monoclonal antibodies that work by binding to certain cells of the immune system. However, they bind to different cells. When given together, they can bind to each other instead of binding to their targets. This can make them less effective at treating the disease. It is important for patients taking these drugs to follow their doctor’s instructions carefully and report all medications they are taking."
DDInter1951,Warfarin,DDInter1722,Sulfadoxine,Major,"Major: The combination of warfarin and sulfadoxine can cause major drug interactions. Warfarin is a blood thinner used to treat blood clots. Sulfadoxine is an antibiotic used to treat malaria. When these drugs are taken together, they may increase the risk of bleeding. This interaction is well known and has been studied many times."
DDInter1351,Osilodrostat,DDInter1376,Ozanimod,Major,"Major: Osilodrostat and ozanimod should not be used together because they can cause serious side effects. Osilodrostat decreases blood pressure and ozanimod increases it. When these drugs are used together, they may have opposite effects on blood pressure, which could be dangerous."
DDInter460,Cytarabine,DDInter737,Fingolimod,Major,"Major: When cytarabine is taken together with fingolimod, there is an increased risk of serious problems with your immune system. This can be severe and life threatening."
DDInter1708,St. John's Wort,DDInter1763,Temsirolimus,Major,Major: St. John’s Wort can make temsirolimus work less effectively. This may reduce the effectiveness of temsirolimus.
DDInter173,Belimumab,DDInter1625,Rubella virus vaccine,Major,"Major: The immune system helps protect against infection. Belimumab is used to treat autoimmune disease. It works by affecting the immune system. Rubella is a viral infection that can cause mild flu-like symptoms. The rubella vaccine is safe and effective for most people. However, if you take belimumab at the same time as this vaccine, your body may have too much activity from both drugs. This can increase your risk of side effects."
DDInter424,Cobicistat,DDInter1415,Pemigatinib,Major,"Major: Cobicistat can increase pemigatinib levels in your body by about 40%. This may cause more side effects. Be alert for signs of bleeding, diarrhea, nausea, vomiting, and rash."
DDInter518,Dexfenfluramine,DDInter1572,Rasagiline,Major,"Major: When dexfenfluramine is taken with rasagiline, there is an increased risk of serious side effects such as hypotension (low blood pressure) and syncope (fainting). This interaction is major."
DDInter943,Interferon alfa-2b,DDInter631,Eltrombopag,Major,Major: Taking interferon alfa-2b together with eltrombopag can cause major side effects. This is because interferon alfa-2b may increase the level of eltrombopag in your body.
DDInter393,Clarithromycin,DDInter1601,Ripretinib,Major,"Major: When taken together, clarithromycin and ripretinib can cause serious side effects. This interaction is major."
DDInter1478,Piroxicam,DDInter621,Edoxaban,Major,Major: Edoxaban is an anticoagulant. Piroxicam is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain and inflammation. Taking piroxicam with edoxaban increases the risk of bleeding. This is because piroxicam can increase the effects of edoxaban.
DDInter533,Diatrizoate,DDInter699,Etodolac,Major,"Major: Taking diatrizoate together with etodolac can cause major side effects. Diatrizoate can increase the levels of etodolac in your body by about 10 times. This can lead to bleeding, stomach pain, ulcers, and other serious side effects."
DDInter224,Bosutinib,DDInter1110,Macimorelin,Major,"Major: The drugs bosutinib and macimorelin should not be taken together because they can increase side effects such as nausea, vomiting, diarrhea, and stomach pain. This interaction may also decrease how well these drugs work. It is not clear exactly how this interaction happens."
DDInter1616,Romidepsin,DDInter1103,Lumefantrine,Major,Major: Romidepsin should not be used together with lumefantrine because it can increase the risk of side effects. This interaction is major.
DDInter386,Cisatracurium,DDInter1277,Neomycin,Major,Major: Cisatracurium should not be used together with neomycin because cisatracurium can block the effects of neomycin. This interaction is major.
DDInter1866,Trifluoperazine,DDInter1498,Potassium citrate,Major,Major: Taking trifluoperazine together with potassium citrate can cause serious changes in heart rate and blood pressure. This is because trifluoperazine slows down the heart rate and potassium citrate increases the heart rate. The combination of these two drugs can lead to dangerously low blood pressure.
DDInter1174,Methotrexate,DDInter1207,Mezlocillin,Major,"Major: When methotrexate is taken together with mezlocillin, there is an increased risk of liver damage. This interaction is major."
DDInter1818,Tirofiban,DDInter1945,Vorapaxar,Major,"Major: When tirofiban and vorapaxar are taken together, they can increase each other’s effects on blood clotting. This may cause bleeding problems."
DDInter392,Cladribine,DDInter1502,Pralatrexate,Major,"Major: When cladribine and pralatrexate are taken together, they can cause serious side effects such as bone marrow suppression. This means that your body makes too few blood cells to fight infection."
DDInter484,Dasatinib,DDInter9,Acalabrutinib,Major,Major: Dasatinib and acalabrutinib should not be used together because they can increase each other’s side effects. This is because dasatinib and acalabrutinib both affect the same protein in the body. The FDA recommends avoiding this combination.
DDInter649,Enzalutamide,DDInter633,Elvitegravir,Major,Major: Enzalutamide can increase levels of elvitegravir in your body. This may cause serious side effects. Be sure to talk to your doctor about taking enzalutamide together with elvitegravir.
